"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","340","STITCH","97","148.0"
"*","341","STITCH","152","148.0"
"*","342","STITCH","100","150.0"
"*","343","STITCH","155","150.0"
"*","344","STITCH","101","152.0"
"*","345","STITCH","153","152.0"
"*","346","STITCH","128","154.0"
"*","347","STITCH","155","154.0"
"*","348","STITCH","112","156.0"
"*","349","STITCH","154","156.0"
"*","350","STITCH","70","158.0"
"*","351","STITCH","181","158.0"
"*","352","JUMP","181","158.0"
"*","353","STITCH","92","108.0"
"*","354","STITCH","127","108.0"
"*","355","STITCH","97","110.0"
"*","356","STITCH","122","110.0"
"*","357","STITCH","92","112.0"
"*","358","STITCH","127","112.0"
"*","359","JUMP","127","112.0"
"*","360","STITCH","157","63.0"
"*","361","STITCH","183","63.0"
"*","362","STITCH","155","65.0"
"*","363","STITCH","188","65.0"
"*","364","STITCH","155","67.0"
"*","365","STITCH","190","67.0"
"*","366","STITCH","166","69.0"
"*","367","STITCH","194","69.0"
"*","368","STITCH","156","71.0"
"*","369","STITCH","197","71.0"
"*","370","STITCH","155","73.0"
"*","371","STITCH","198","73.0"
"*","372","STITCH","155","75.0"
"*","373","STITCH","187","75.0"
"*","374","STITCH","181","77.0"
"*","375","STITCH","198","77.0"
"*","376","STITCH","176","79.0"
"*","377","STITCH","194","79.0"
"*","378","STITCH","168","81.0"
"*","379","STITCH","187","81.0"
"*","380","STITCH","161","83.0"
"*","381","STITCH","180","83.0"
"*","382","STITCH","156","85.0"
"*","383","STITCH","173","85.0"
"*","384","STITCH","172","87.0"
"*","385","STITCH","212","87.0"
"*","386","STITCH","156","89.0"
"*","387","STITCH","213","89.0"
"*","388","STITCH","199","91.0"
"*","389","STITCH","215","91.0"
"*","390","STITCH","157","93.0"
"*","391","STITCH","216","93.0"
"*","392","STITCH","158","95.0"
"*","393","STITCH","217","95.0"
"*","394","STITCH","159","97.0"
"*","395","STITCH","219","97.0"
"*","396","STITCH","159","101.0"
"*","397","STITCH","220","101.0"
"*","398","STITCH","160","103.0"
"*","399","STITCH","221","103.0"
"*","400","STITCH","171","105.0"
"*","401","STITCH","222","105.0"
"*","402","STITCH","162","107.0"
"*","403","STITCH","223","107.0"
"*","404","STITCH","224","109.0"
"*","405","STITCH","224","109.0"
"*","406","STITCH","163","111.0"
"*","407","STITCH","226","111.0"
"*","408","STITCH","225","113.0"
"*","409","STITCH","225","113.0"
"*","410","STITCH","165","115.0"
"*","411","STITCH","226","115.0"
"*","412","STITCH","168","117.0"
"*","413","STITCH","227","117.0"
"*","414","STITCH","168","119.0"
"*","415","STITCH","228","119.0"
"*","416","STITCH","178","121.0"
"*","417","STITCH","220","121.0"
"*","418","STITCH","169","123.0"
"*","419","STITCH","228","123.0"
"*","420","STITCH","174","125.0"
"*","421","STITCH","226","125.0"
"*","422","STITCH","187","127.0"
"*","423","STITCH","227","127.0"
"*","424","STITCH","188","129.0"
"*","425","STITCH","233","129.0"
"*","426","STITCH","230","131.0"
"*","427","STITCH","230","131.0"
"*","428","STITCH","206","133.0"
"*","429","STITCH","235","133.0"
"*","430","STITCH","199","135.0"
"*","431","STITCH","225","135.0"
"*","432","STITCH","206","137.0"
"*","433","STITCH","219","137.0"
"*","434","STITCH","205","139.0"
"*","435","STITCH","231","139.0"
"*","436","STITCH","208","141.0"
"*","437","STITCH","229","141.0"
"*","438","STITCH","208","143.0"
"*","439","STITCH","214","143.0"
"*","440","STITCH","216","145.0"
"*","441","STITCH","229","145.0"
"*","442","STITCH","211","147.0"
"*","443","STITCH","224","147.0"
